name,city,kind,item_id,place_id,google_name,google_category,raw_status,status
(working title) LASALLE,Bugis,Cafe,67dbb81e90eb89a5859dfc47,ChIJ_RixlFQZ2jERUW_DjiCS6GQ,(working title) LASALLE,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
190° Coffee And Tea,Lincoln Park,Cafe,688cc1e52c5a3b0ccf60a3e0,ChIJ6Su6-61NrlIRG3eWnXHycEE,190° Coffee And Tea,Coffee shop,OPERATIONAL,Open
39 Degraus,Santo Antonio,Cafe,67dbb82b5990780b5fce759a,ChIJx1iO6CgzGQ0RkUztOWBAOCs,39 Degraus,Restaurant,OPERATIONAL,Open
4 WALLS Coworking,Neustadt,Coworking Space,67d810202b24736bd92f2972,ChIJMef71FuPsUcRFQJOge0poOk,4 WALLS | Coworking | Eventlocation | Café | Store,Cafe,OPERATIONAL,Open
7.AM Bakers Pererenan,Pererenan,Cafe,6809d00b2aa4ba2c3ee0112c,ChIJyfvleuI50i0R56jJ7bcE-Fs,7AM Bakers | 7PM Diners Pererenan,Bakery,OPERATIONAL,Open
ACE Coworking Space,My An,Coworking Space,67dbb8235990780b5fce6e74,ChIJ-Z9VY1sXQjERKdCDqBhoHmo,ACE Coworking Space,Coworking space,OPERATIONAL,Open
ACME Pererenan,Pererenan,Cafe,65fa86d0e0379bf78d52478c,ChIJ-z4qeBQ50i0RbjmWrYkafYg,ACME Pererenan,Bakery,OPERATIONAL,Open
AIDA Cafe Konditorei Singerstrasse,Innere Stadt,Cafe,6809d00d25e5cac9d891ffc0,ChIJSwalOZ8HbUcRfddOf99g4Lg,AIDA - Café-Konditorei,Coffee shop,OPERATIONAL,Open
AIDA Shoreditch,Shoreditch,Cafe,67d0057fe23f36cf173821e8,ChIJbSL-a7ocdkgRZdUhwWYFJKg,AIDA Shoreditch,Clothing store,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
ALTER SPACE Siargao Workspace,General Luna,Coworking Space,67246a39070155fc18588f75,ChIJBcxdH3cJBDMRyv-ffv745qs,ALTER SPACE Siargao Workspace and Coliving,Coworking Space,OPERATIONAL,Open
ARK Coworking,Angel,Coworking Space,6809cff6709fce94fc706079,ChIJ7XcKUj8bdkgRCv04bJNZHDc,ARK coworking,Coworking space,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
AT 06,Canggu,Coworking Space,65fa86d0e0379bf78d5245b3,ChIJiVKnl0850i0RAd7mEs7lVNc,AT 06 ( Dine | Coworking | Gym | Wellness | Events | Catering ) TRAIN AT SIX,Restaurant,OPERATIONAL,Open
AWAN Connection,Canggu,Coworking Space,65fa86d0e0379bf78d52451e,ChIJ4WoPrzw50i0Rc3zZTiUNY7s,Awan Connection - Cafe & Coworking Space,Coworking Space,OPERATIONAL,Open
Ahoy Berlin,Wedding,Coworking Space,67dbb81b89928f8e5c835aba,ChIJPZDUWfRRqEcRHIEMEqFSkTk,Ahoy Berlin,Coworking space,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Akha Ama Phrasingh,Old City,Cafe,660a6635ba6cc2370a21dc5c,ChIJkZyVmJs62jARav_dgGLEBr0,Akha Ama Phrasingh,Cafe,OPERATIONAL,Open
Alchemy Ubud,Ubud,Cafe,65fa86d0e0379bf78d52478a,ChIJ-c4tzlM90i0RKf-B2o_c-Ww,Alchemy Yoga and Meditation Center,Yoga Studio,OPERATIONAL,Open
Alchemy Uluwatu,Uluwatu (Bingin),Cafe,65fa86d0e0379bf78d52469b,ChIJ9XI8QXJF0i0R_GzfcqL5QKk,Alchemy Uluwatu,Restaurant,OPERATIONAL,Open
Aletheia Back House,Ubud,Cafe,65fa86d0e0379bf78d5247af,ChIJI54JMDE90i0RMEC6l5YDKAw,Aletheia’s Kitchen,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Alily Lounge Restaurant & Bar,Penida Island,Cafe,6809d00d94d120b9c29c84bb,ChIJ_TrvDslz0i0RfcOIMYjSVCY,Alily Lounge Restaurant & Bar,Restaurant,OPERATIONAL,Open
Almond.,Pererenan,Cafe,65fa86d0e0379bf78d524580,ChIJKy9UsFU50i0RVXHHAxJEMaQ,almond.,Restaurant,OPERATIONAL,Open
Alt_ChiangMai - coliving & coworking space,Old City,Coworking Space,67dbb83010fcee80de321324,ChIJ4zPcJEw72jARdGYLa7Rpeak,Alt_ChiangMai - coliving & coworking space,Coworking space,OPERATIONAL,Open
Amolas Cafe,Canggu,Cafe,65fa86d0e0379bf78d524574,ChIJD63X4IU50i0RFkjm_Q5AwGs,Amolas Cafe,Cafe,OPERATIONAL,Open
Amon Cafe,General Luna,Cafe,67246a3a49dd3e0404417462,ChIJs3RWJBP3AzMRxBeqLJ_m544,Amon Cafe,Coffee Shop,OPERATIONAL,Open
Andaliman Gili Air,Gili Air,Cafe,6613fb81b431f33cf8cd5273,ChIJre0JBBzdzS0RmV_LGqYkaAw,Andaliman Gili Air,Restaurant,OPERATIONAL,Open
Anomali Coffee Ubud,Ubud,Cafe,67a95643cfcb17dd39520f73,ChIJJZkw5Cwi0i0RRlndGdatOY0,Anomali Coffee Ubud,Cafe,OPERATIONAL,Open
Apichada view point,Baan Tai,Cafe,6784e2130f8b7e29bed7d16e,ChIJqcTN9_78VDARmYFNQxvKCsk,,,ERROR:404,ERROR:404
Arch & Beans Kavemuvek,District 5,Cafe,668b8ee838fddafe57a331af,,,,NOT_FOUND,Not found on Google
Argyll - 1 Cornhill,City of London,Coworking Space,6809cffb12a4f2a72acc82e3,ChIJKaeQFFMDdkgRbECFmkRD-qI,Argyll - 1 Cornhill,Real estate agency,OPERATIONAL,Open
Argyll - 1 King William Street,City of London,Coworking Space,6809d29f812c1fb97363c9ba,ChIJeTVTgVQDdkgROOBGx7cPH68,Argyll - 1 King William Street,Real estate agency,OPERATIONAL,Open
Argyll - 20 North Audley Street,Mayfair,Coworking Space,6809d00484cf6fe0ca12cae0,ChIJ-397lzIFdkgRymqgkIoPzo4,Argyll - 20 North Audley Street,Real estate agency,OPERATIONAL,Open
Argyll - 288 Bishopsgate,Liverpool Street,Coworking Space,6809d0061f2325d5045f697d,ChIJuUon1rMcdkgR1tbetCWkK6U,Argyll - 288 Bishopsgate,Real estate agency,OPERATIONAL,Open
Argyll - 85 Gresham Street,City of London,Coworking Space,6809cffaea423d76c26e82bc,ChIJ8dhs0qocdkgR6O6ZOkL7SeU,Argyll - 85 Gresham Street,Real estate agency,OPERATIONAL,Open
Argyll - Central Court,Holborn,Coworking Space,6809d000744673d0e5f5a536,ChIJw5xHeksbdkgR8z40zKnvmmU,Argyll - Central Court,Real estate agency,OPERATIONAL,Open
Argyll - Michelin House,Chelsea,Coworking Space,6809cffccca1f7b77befdec3,ChIJtzfcbWoFdkgRAZCv9_98iSI,Argyll - Michelin House,Real estate agency,OPERATIONAL,Open
Argyll - Nova North,Victoria,Coworking Space,6809d009ef2baf52183a38ab,ChIJ0-V7rf8FdkgR6GINYfO92BE,Argyll - Nova North,Real estate agency,OPERATIONAL,Open
Argyll - Octagon Point,City of London,Coworking Space,6809cffac6dc5faef1523d44,ChIJ-dgZLKsEdkgRYcz9lHlqTi0,Argyll - Octagon Point,Real estate agency,OPERATIONAL,Open
Aroon Cafe,Sukhumvit,Cafe,674b379f207c69628c4cecf4,ChIJp7wxhyqf4jARHQ5N_NseXrA,AROON cafe,Coffee shop,OPERATIONAL,Open
Art Cafe,Srithanu,Cafe,6784e2122c567ba362777f47,ChIJ6f-4rcQBVTAR-NphUfn29tc,Art Cafe,Cafe,OPERATIONAL,Open
Art Food Corner,Funchal,Cafe,664fb8985043bf3daf5dd16e,ChIJE7YGfgVgYAwRqxLAoAXFemg,Art Food Corner Madeira,Coffee Shop,OPERATIONAL,Open
"Art Kafé, Santa Maria",Santa Maria,Cafe,676736cf9d7b3a96011eb914,ChIJ6Wiqe-hbSwkRvJbnyh3m604,"Art Kafé, Cabo Verde",Restaurant,OPERATIONAL,Open
Artis Coffee Bangkok,Sukhumvit,Cafe,674b379f02306752fb737bbd,ChIJj-lzz-Ke4jAREFnwwEkAIB8,Artis Coffee Bangkok,Coffee shop,OPERATIONAL,Open
Artisan Cafe,Hai Ya,Cafe,67dbb81f507d6795321a8a9c,ChIJz9PXLncw2jAR9GDoUHCuEKw,Artisan Café,Coffee shop,OPERATIONAL,Open
Attendant Coffee Roasters - Bank,Bank,Cafe,6809cff77a5c39fcdc925da1,ChIJLfDRmTkDdkgRkaTYL1AXfeo,Attendant Coffee Roasters - Bank,Coffee shop,OPERATIONAL,Open
Attendant Coffee Roasters - Fitzrovia,Fitzrovia,Cafe,6809cfff7a5c39fcdc92641f,ChIJT3lsCSobdkgRsmpQbI2yp5w,Attendant Coffee Roasters | Fitzrovia,Coffee shop,OPERATIONAL,Open
Attendant Coffee Roasters - Shoreditch,Shoreditch,Cafe,67d0057fe660a8c7f2a6dbb5,ChIJG0K3_68cdkgRiwtSEMbrTco,Attendant Coffee Roasters - Shoreditch,Cafe,CLOSED_PERMANENTLY,PERMANENTLY CLOSED
Augusto Smoothy Bar,Surat Thani Airport,Cafe,679c449b1f44d535f9e2db38,ChIJJzSDnbOrVjARA58ZO2cFYoI,Augusto Smoothy Bar,Restaurant,OPERATIONAL,Open
Avila Spaces,Saldanha,Coworking Space,6809cff63edc9df7affd054d,ChIJMUIsYAozGQ0RxnGf2TgYIgE,Avila Spaces,,OPERATIONAL,Open
Avila Spaces Parque Das Nacoes,Parque das Nacoes,Coworking Space,6809cff795ba1239c120e7d2,ChIJJ0csu7AxGQ0R2IBBZx8hU-M,Avila Spaces Trabalho,Business center,OPERATIONAL,Open
Avocado Resto,Medewi,Cafe,67a956430e939dfa15213318,ChIJxYT2x6vV0y0RnwsY8EfBhdI,Avocado Resto,Restaurant,OPERATIONAL,Open
BO.KA Workspace,"Old Town, Paphos",Coworking Space,68a2fa296ea37c7e45863609,ChIJS-wpQr8H5xQRY9WdewfuHTU,"BO.KA Workspace | Coworking in Paphos, Cyprus",Coworking space,OPERATIONAL,Open
BOB Coffee,Chang Phueak,Cafe,67d0057f7ff194b7a30e5b59,ChIJPVCRjZE72jARsC3ny39S-KY,BOB Coffee,Coffee shop,OPERATIONAL,Open
