name,city,kind,item_id,place_id,primary_type,business_status,is_lodging,lodging_types,all_types
(working title) LASALLE,Bugis,Cafe,67dbb81e90eb89a5859dfc47,ChIJ_RixlFQZ2jERUW_DjiCS6GQ,Cafe,CLOSED_PERMANENTLY,,,"cafe, point_of_interest, food, establishment"
190° Coffee And Tea,Lincoln Park,Cafe,688cc1e52c5a3b0ccf60a3e0,ChIJ6Su6-61NrlIRG3eWnXHycEE,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment"
39 Degraus,Santo Antonio,Cafe,67dbb82b5990780b5fce759a,ChIJx1iO6CgzGQ0RkUztOWBAOCs,Restaurant,OPERATIONAL,,,"restaurant, cafeteria, bar, food, point_of_interest, establishment"
4 WALLS Coworking,Neustadt,Coworking Space,67d810202b24736bd92f2972,ChIJMef71FuPsUcRFQJOge0poOk,Cafe,OPERATIONAL,,,"cafe, coworking_space, food, point_of_interest, establishment"
7.AM Bakers Pererenan,Pererenan,Cafe,6809d00b2aa4ba2c3ee0112c,ChIJyfvleuI50i0R56jJ7bcE-Fs,Bakery,OPERATIONAL,,,"bakery, brunch_restaurant, sandwich_shop, pastry_shop, dessert_shop, coffee_shop, cafe, confectionery, food_store, restaurant, food, store, point_of_interest, establishment"
ACE Coworking Space,My An,Coworking Space,67dbb8235990780b5fce6e74,ChIJ-Z9VY1sXQjERKdCDqBhoHmo,Coworking space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
ACME Pererenan,Pererenan,Cafe,65fa86d0e0379bf78d52478c,ChIJ-z4qeBQ50i0RbjmWrYkafYg,Bakery,OPERATIONAL,,,"bakery, coffee_roastery, food_store, food, store, point_of_interest, establishment"
AIDA Cafe Konditorei Singerstrasse,Innere Stadt,Cafe,6809d00d25e5cac9d891ffc0,ChIJSwalOZ8HbUcRfddOf99g4Lg,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
AIDA Shoreditch,Shoreditch,Cafe,67d0057fe23f36cf173821e8,ChIJbSL-a7ocdkgRZdUhwWYFJKg,Clothing store,CLOSED_PERMANENTLY,,,"clothing_store, womens_clothing_store, cafe, home_goods_store, store, food, point_of_interest, service, establishment"
ALTER SPACE Siargao Workspace,General Luna,Coworking Space,67246a39070155fc18588f75,ChIJBcxdH3cJBDMRyv-ffv745qs,Coworking Space,OPERATIONAL,YES,lodging,"coworking_space, lodging, point_of_interest, establishment"
ARK Coworking,Angel,Coworking Space,6809cff6709fce94fc706079,ChIJ7XcKUj8bdkgRCv04bJNZHDc,Coworking space,CLOSED_PERMANENTLY,,,"coworking_space, point_of_interest, establishment"
AT 06,Canggu,Coworking Space,65fa86d0e0379bf78d5245b3,ChIJiVKnl0850i0RAd7mEs7lVNc,Restaurant,OPERATIONAL,,,"restaurant, coworking_space, wellness_center, gym, sports_activity_location, health, food, point_of_interest, establishment"
AWAN Connection,Canggu,Coworking Space,65fa86d0e0379bf78d52451e,ChIJ4WoPrzw50i0Rc3zZTiUNY7s,Coworking Space,OPERATIONAL,,,"coworking_space, real_estate_agency, cafe, food, point_of_interest, service, establishment"
Ahoy Berlin,Wedding,Coworking Space,67dbb81b89928f8e5c835aba,ChIJPZDUWfRRqEcRHIEMEqFSkTk,Coworking space,CLOSED_PERMANENTLY,,,"coworking_space, business_center, real_estate_agency, event_venue, point_of_interest, service, establishment"
Akha Ama Phrasingh,Old City,Cafe,660a6635ba6cc2370a21dc5c,ChIJkZyVmJs62jARav_dgGLEBr0,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Alchemy Ubud,Ubud,Cafe,65fa86d0e0379bf78d52478a,ChIJ-c4tzlM90i0RKf-B2o_c-Ww,Yoga Studio,OPERATIONAL,,,"yoga_studio, sports_complex, fitness_center, gym, sports_school, health, sports_activity_location, point_of_interest, establishment"
Alchemy Uluwatu,Uluwatu (Bingin),Cafe,65fa86d0e0379bf78d52469b,ChIJ9XI8QXJF0i0R_GzfcqL5QKk,Restaurant,OPERATIONAL,,,"restaurant, grocery_store, food_store, store, food, point_of_interest, establishment"
Aletheia Back House,Ubud,Cafe,65fa86d0e0379bf78d5247af,ChIJI54JMDE90i0RMEC6l5YDKAw,Cafe,CLOSED_PERMANENTLY,,,"cafe, dessert_shop, confectionery, food_store, store, food, point_of_interest, establishment"
Alily Lounge Restaurant & Bar,Penida Island,Cafe,6809d00d94d120b9c29c84bb,ChIJ_TrvDslz0i0RfcOIMYjSVCY,Restaurant,OPERATIONAL,,,"restaurant, coworking_space, lounge_bar, coffee_shop, cafe, cocktail_bar, night_club, live_music_venue, bar, event_venue, point_of_interest, food_store, store, food, establishment"
Almond.,Pererenan,Cafe,65fa86d0e0379bf78d524580,ChIJKy9UsFU50i0RVXHHAxJEMaQ,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Alt_ChiangMai - coliving & coworking space,Old City,Coworking Space,67dbb83010fcee80de321324,ChIJ4zPcJEw72jARdGYLa7Rpeak,Coworking space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
Amolas Cafe,Canggu,Cafe,65fa86d0e0379bf78d524574,ChIJD63X4IU50i0RFkjm_Q5AwGs,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Amon Cafe,General Luna,Cafe,67246a3a49dd3e0404417462,ChIJs3RWJBP3AzMRxBeqLJ_m544,Coffee Shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment"
Andaliman Gili Air,Gili Air,Cafe,6613fb81b431f33cf8cd5273,ChIJre0JBBzdzS0RmV_LGqYkaAw,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Anomali Coffee Ubud,Ubud,Cafe,67a95643cfcb17dd39520f73,ChIJJZkw5Cwi0i0RRlndGdatOY0,Cafe,OPERATIONAL,,,"cafe, coffee_shop, food_store, store, restaurant, food, point_of_interest, establishment"
Apichada view point,Baan Tai,Cafe,6784e2130f8b7e29bed7d16e,ChIJqcTN9_78VDARmYFNQxvKCsk,,ERROR:404,,,
Arch & Beans Kavemuvek,District 5,Cafe,668b8ee838fddafe57a331af,,,NOT_FOUND,,,
